,0
06768-000,-46.78157
04710-160,-46.69688
12281-010,-45.70457
11045-301,-46.32224
88160-130,-48.65488
53030-010,-34.84058
88132-149,-48.6743
34505-320,-43.81119
28941-068,-42.10209
13220-001,-46.83805
93220-680,-51.14997
78110-302,-56.13207
57680-970,-36.21471
68550-005,-50.02929
01529-000,-46.63426
13215-900,-46.8918
13480-743,-47.41087
59140-260,-35.26097
01013-001,-46.63417
31270-122,-43.95587
15950-970,-48.80498
07802-240,-46.74793
09371-520,-46.47606
33035-170,-44.01343
68555-201,-49.94326
58306-000,-34.91287
03103-003,-46.62035
83323-000,-49.18722
61801-240,-38.61816
06053-000,-46.78513
06194-060,-46.79963
51021-020,-34.89971
90130-100,-51.22023
09110-001,-46.51074
09015-020,-46.52867
11060-002,-46.33243
07180-270,-46.46915
09890-001,-46.56378
03806-010,-46.47739
42702-400,-38.33113
18080-000,-47.46254
03089-000,-46.55394
35160-294,-42.57124
65631-240,-42.83255
73750-040,-49.31662
59600-195,-37.34536
29176-090,-40.30752
13403-000,-47.66659
89053-200,-49.08141
13025-355,-47.05134
91310-000,-51.18525
16025-010,-50.43342
16074-185,-50.453
14025-700,-47.81162
54759-000,-34.98025
13565-905,-47.89139
14401-234,-47.37999
15025-600,-49.38917
72318-595,-48.07952
04617-000,-46.67821
74620-010,-49.28487
65010-450,-44.30634
49030-640,-37.06435
64208-120,-41.7541
64049-240,-42.78936
64000-240,-42.81351
74070-070,-49.35141
64607-165,-41.45391
49015-160,-37.05278
49010-520,-37.04872
47800-191,-44.99404
47850-043,-45.79573
44075-155,-38.95024
90040-060,-51.21857
40290-000,-38.48909
40010-904,-38.51107
41635-150,-38.36031
41825-000,-38.46933
40140-902,-38.52356
14015-170,-47.81201
07012-020,-46.53053
71615-560,-47.90342
69073-175,-59.99089
71953-000,-47.92909
70715-000,-47.88969
70670-431,-47.89733
75901-040,-50.92918
96065-000,-52.34206
90570-060,-51.2043
91140-000,-51.11477
75040-040,-48.95842
93125-140,-51.15676
81650-020,-49.24017
74160-010,-49.26424
35930-003,-43.16804
52070-230,-34.92394
60170-001,-38.4994
75110-770,-48.94813
35044-190,-41.94718
90650-003,-51.18074
22790-702,-43.48834
02937-040,-46.72188
15920-970,-48.49713
13076-061,-47.05428
60420-432,-38.54911
89204-005,-48.84836
51020-280,-34.89955
41830-070,-38.46793
40025-000,-38.50739
20080-002,-43.18758
86070-680,-51.18991
12230-000,-45.88766
74075-010,-49.26353
64014-130,-42.80139
90410-002,-51.18525
92330-000,-51.22262
02071-011,-46.60277
29055-131,-40.2977
78070-000,-56.07306
88117-001,-48.60392
69932-970,-68.74907
59296-802,-35.25819
38400-448,-48.28086
58410-298,-35.87326
32145-900,-44.0543
20020-010,-43.17304
30640-000,-44.01972
32315-140,-44.03931
80420-000,-49.27883
30830-373,-44.00554
05503-001,-46.71036
58030-000,-34.86395
31610-070,-43.96051
04534-002,-46.67209
30110-008,-43.92981
54325-440,-34.93196
22240-005,-43.1872
59082-270,-35.18706
30180-160,-43.94359
09657-000,-46.59192
03949-100,-46.48214
41820-000,-38.46137
79004-680,-54.61132
58085-000,-34.89621
80010-010,-49.26867
