index,CNPJ,SEQUENCIALDOCNPJ,DVDOCNPJ,NOMEINSTITUIÇÃO,SEGMENTO,CÓDCOMPEAG,NOMEAGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATAINÍCIO,DDD,FONE,IDINSTALAÇÃO,MUNICIPIOIBGE,LATITUDE,LONGITUDE,LATITUDE_v2,LONGITUDE_v2
12463,00.000.208,111,45,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,255,AGÊNCIA SEE-DF/GAMA                                         ,"AE EQ 27/36, LADO OESTE",          ,"SETOR CENTRAL, CENTRO DE ENSINO MEDIO 02          ",GAMA,72425-000,BRASILIA(GAMA),DF,2013-01-11 00:00:00,61,338412100,9999367958,5300108,-15.79897,-48.09588,,
12464,00.000.208,51,70,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,216,ALFA                                                        ,QUADRA 01 LOTE 160,          ,LOJA 01                                           ,SETORLESTEINDL.,72445-010,BRASILIA(GAMA),DF,17/06/1991 ,61,33221515,9999990676,5300108,-16.00764,-48.05817,,
12467,60701190,4575,70,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4296,BRASÍLIA/SATÉLITE SANTA MARIA                               ,"SETOR NORTE COM LOCAL, 114",          ,LT D LJ 2 PAV - TERREO E SUPERIOR                 ,SANTAMARIA,72544-204,BRASILIA,DF,28/12/2011 ,11,30034828,9999465256,5300108,-16.00331,-47.98972,,
12469,00.000.208,65,75,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,64,SANTA MARIA                                                 ,COMERCIO LOCAL Q 115 LT E LOJA TERREA,          ,                                                  ,SANTAMARIA,72545-970,BRASILIA(SANTAMARIA),DF,1996-06-09 00:00:00,61,33221515,9999990662,5300108,-16.00579,-47.99875,,
12473,00.000.208,72,2,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,240,RECANTO DAS EMAS                                            ,AV RECANTO DAS EMAS QD 203,          ,LOTE 15                                           ,RECANTODASEMAS,72610-300,BRASILIA(RECANTODASEMAS),DF,1997-01-07 00:00:00,61,33221515,9999990655,5300108,-15.90486,-48.06562,,
12474,60701190,3269,80,ITAÚ UNIBANCO S.A.,Banco Múltiplo,7987,BRASÍLIA/SATÉLITE RECANTO DAS EMAS                          ,RECANTO DAS EMAS - QD.205,          ,AV.RECANTO DAS EMAS - LT 01/02 - LJ 04            ,RECANTODASEMAS,72610-501,BRASILIA,DF,17/09/2008 ,11,30034828,9999636216,5300108,-15.90582,-48.06629,,
12476,00.000.208,25,88,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,25,BRAZLANDIA                                                  ,"QUADRA 3, BLOCO B",          ,LOTES 6/10                                        ,SETORNORTE,72705-030,BRASILIA(BRAZLANDIA),DF,1978-07-06 00:00:00,61,33221515,9999990698,5300108,-15.82916,-48.05931,,
12479,00.000.208,134,31,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,283,AGÊNCIA SES-DF/HRB                                          ,ÁREA ESPECIAL,6,SETOR TRADICIONAL                                 ,BRAZLÂNDIA,72720-660,BRASILIA(BRAZLANDIA),DF,21/12/2015 ,61,33917432,9999293189,5300108,-15.68112,-48.20292,,
12480,60701190,2021,57,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4396,LUZIANIA-CENTRO                                             ,"RUA SANTISSIMO SACRAMENTO, 189",          ,                                                  ,CENTRO,72800-000,LUZIANIA,GO,27/05/2002 ,11,30034828,9999968540,5212501,,,,
12481,60746948,1816,64,BANCO BRADESCO S.A.,Banco Múltiplo,1570,"LUZIANIA, CENTRO, GO                                        ",PRACA EVANGELINO MEIRELES 50-A,          ,                                                  ,CENTRO,72800-000,LUZIANIA,GO,1985-10-05 00:00:00,61,6212551,9999966792,5212501,,,,
12482,00.000.208,31,26,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,72,LUZIANIA                                                    ,TRAVESSA EMANOEL RORIZ,          ,NRO 12                                            ,CENTRO,72800-480,LUZIANIA,GO,16/03/2004 ,61,33221515,9999868974,5212501,-16.26923,-47.95509,,
12485,90400888,3375,38,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2530,001 2530 LUZIANIA-GO                                        ,R BENJAMIN RORIZ QUADRA 33 SN,          ,LOTE 31                                           ,SETORAEROPORTO,72801-147,LUZIANIA,GO,21/03/2022 ,61,36159791,9999045659,5212501,-16.25874,-47.9551,,
12488,60701190,2011,85,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4419,NOVO GAMA (GO)                                              ,"RUA 43,S/Nº - QUADRA 482 - LOTE 32",          ,                                                  ,NUCLEOHABITACIONAL,72860-000,NOVOGAMA,GO,27/05/2002 ,11,30034828,9999968550,5215231,,,,
12489,00.000.208,91,67,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,264,AGÊNCIA NOVO GAMA                                           ,"QUADRA 473, LOTES 7 E",8,PEDREGAL                                          ,PARQUEESTRELADALVAVI,72860-436,NOVOGAMA,GO,2013-08-07 00:00:00,61,33502000,9999375684,5215231,-16.25393,-47.92129,,
12492,60701190,2008,80,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4448,VALPARAISO DE GOIAS (GO)                                    ,"QD. 7, S/Nº - ETAPA A - COND. TROPICAL -",          ,SALA 3B                                           ,VALPARAIOSIETAPAA,72876-021,VALPARAISODEGOIAS,GO,27/05/2002 ,11,30034828,9999968553,5221858,-16.07238,-47.99548,,
12495,90400888,3119,3,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,2327,001 2327 VALPARAISO DE GOIAS-GO                             ,"R 13, S/N",          ,QD 33 LT 06                                       ,PQESPLANADAIII,72876-333,VALPARAISODEGOIAS,GO,18/11/2019 ,11,35530372,9999158178,5221858,-16.07167,-47.99559,,
12496,60746948,2804,84,BANCO BRADESCO S.A.,Banco Múltiplo,2541,"VALPARAISO DE GOIAS, GO                                     ","NúCLEO CENTRO COMERCIAL TROPICA, S/N",          ,"QUADRA 7, SALA 2A, ETAPA A                        ",VALPARAISODEGOIáS,72876-901,VALPARAISODEGOIAS,GO,2002-06-08 00:00:00,61,36276263,9999965882,5221858,-16.07238,-47.99548,,
12497,00.000.208,68,18,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,141,VALPARAISO                                                  ,"QUADRA 01, SHOPPING SUL, LOJA 136A",          ,PARQUE ESPLANADA III BR 040 KM 12                 ,VALPARAISO,72876-902,VALPARAISODEGOIAS,GO,1997-02-01 00:00:00,61,33221515,9999990659,5221858,-16.07264,-47.99548,,
12499,60701190,2020,76,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4417,CIDADE OCIDENTAL (GO)                                       ,"SQ - 15, QUADRA 15, LOJA 46",          ,                                                  ,AREAESPECIAL,72880-000,CIDADEOCIDENTAL,GO,27/05/2002 ,11,30034828,9999968541,5205497,-16.1363251,-47.8032284,-16.1363251,-47.8032284
12501,60701190,2019,32,ITAÚ UNIBANCO S.A.,Banco Múltiplo,4409,ST.ANTONIO DO DESCOB.(GO)                                   ,"AV. CONCEICAO, QD. 54, LT. 17",          ,                                                  ,CENTRO,72900-000,SANTOANTONIODODESCOBERTO,GO,27/05/2002 ,11,30034828,9999968542,5219753,-16.0997539,-48.2791757,-16.0997539,-48.2791757
12503,00.000.208,88,61,BRB - BANCO DE BRASILIA S.A.,Banco Múltiplo,87,AGÊNCIA SANTO ANTÔNIO DO DESCOBERTO                         ,"QUADRA 48, LOTE",19,                                                  ,CENTRO,72900-970,SANTOANTONIODODESCOBERTO,GO,2013-04-02 00:00:00,61,36265480,9999396757,5219753,-15.94307,-48.25712,,
