,Unnamed: 0,0
303,01310-930,-21.7833709
304,01310-930,-21.879413
305,01310-930,-21.685259
306,01310-930,-21.6472763
307,01310-930,-21.5791339
308,01310-930,-21.4284481
309,01311-000,-21.4884964
310,01311-000,-21.5913644
311,01311-000,-21.4542174
312,01311-100,-21.5427809
313,01311-200,-21.5081169
314,01311-200,-21.4082519
315,01311-200,-21.2480279
316,01311-200,-21.4473676
317,01311-200,-21.1839565
318,01311-200,-23.5297232
319,01311-200,-23.5306892
320,01311-300,-23.8107528
321,01311-300,-23.661914
322,01311-902,-23.8139412
323,01311-902,-23.9441822
324,01311-915,-23.8431563
325,01311-920,-23.5340875
326,01311-920,-23.6125307
327,01311-920,-23.9226248
328,01311-933,-23.4591973
329,01311-933,-23.1747999
330,01311-933,-23.2262827
331,01311-940,-23.7445787
332,01315-000,-24.2114782
333,01317-002,-24.4471702
334,01318-000,-24.0997279
335,01318-001,-23.848168
336,01318-001,-24.0568088
337,01326-010,-23.7157176
338,01326-010,-22.9686128
339,01326-010,-23.1744477
340,01327-002,-23.0457688
341,01332-000,-23.2248099
342,01333-011,-23.3027395
343,01401-001,-23.4053256
344,01402-000,-23.0199749
345,01402-001,-23.1099234
346,01405-001,-23.0834705
347,01405-002,-22.7069095
348,01405-002,-22.82203
349,01405-002,-22.6535858
350,01405-200,-23.173197
351,01406-000,-23.1960487
352,01406-000,-23.4322217
353,01406-200,-23.4835372
354,01406-200,-23.4819846
355,01409-000,-23.0647184
356,01410-001,-22.8413601
357,01412-100,-22.8305069
358,01412-100,-23.0499831
359,01412-100,-23.1935986
360,01412-100,-23.3879703
361,01413-100,-23.4677447
362,01413-100,-22.8991998
363,01413-100,-22.6556609
364,01413-100,-23.0591934
365,01413-100,-23.034166
366,01414-001,-23.0573113
367,01415-000,-22.1840675
368,01415-000,-21.8313598
369,01415-000,-22.5827873
370,01418-000,-22.3821373
371,01418-000,-22.5591203
372,01418-000,-22.3811068
373,01418-000,-22.5305521
374,01418-002,-22.4165231
375,01418-002,-22.0236981
376,01418-100,-22.0558139
377,01418-100,-21.7718151
378,01418-102,-21.7917226
379,01418-102,-21.9666763
380,01419-001,-22.1468812
381,01419-001,-21.9564476
382,01419-002,-22.1351054
383,01419-101,-22.2480101
384,01419-904,-22.5376718
385,01420-020,-22.2592565
386,01425-010,-22.6820531
387,01425-010,-22.4027417
388,01426-001,-22.2347639
389,01426-003,-22.3084257
390,01427-000,-22.1642972
391,01427-000,-22.7022456
392,01427-000,-22.774298
393,01427-000,-22.4409357
394,01427-000,-22.6515471
395,01427-002,-22.7432353
396,01427-002,-22.8228597
397,01427-002,-22.87815
398,01427-002,-22.8065424
399,01427-002,-22.8556931
400,01427-010,-22.8136187
401,01430-000,-22.8368201
402,01430-000,-22.9161789
403,01430-000,-22.7691646
404,01430-001,-23.0115939
405,01431-000,-23.0656361
406,01432-030,-22.766604
407,01435-001,-22.7883834
408,01435-001,-22.8935142
409,01435-050,-22.5285535
410,01435-901,-22.1878784
411,01436-000,-22.2391121
412,01436-000,-22.2008945
413,01442-000,-22.0293547
414,01442-000,-22.0471218
415,01442-001,-22.5701907
416,01448-000,-22.5961542
417,01451-000,-22.6173051
418,01451-000,-22.5163794
419,01451-000,-22.5284121
420,01451-000,-22.492096
421,01451-000,-22.3341196
422,01451-000,-22.602558
423,01451-000,-22.5383309
424,01451-000,-22.7772323
425,01451-000,-22.4463864
426,01451-000,-22.4428239
427,01451-000,-22.2496709
428,01451-000,-22.1748842
429,01451-001,-22.4028163
430,01451-001,-22.190606
431,01451-001,-21.8357641
432,01451-001,-21.8387934
433,01451-001,-21.6392446
434,01451-001,-21.4033845
435,01451-001,-21.4147764
436,01451-001,-21.1877747
437,01451-002,-21.1330059
438,01451-010,-20.8771822
439,01451-010,-21.034622
440,01451-011,-20.9868314
441,01451-011,-21.6761772
442,01451-904,-21.5103073
443,01451-904,-21.3822269
444,01451-905,-21.398788
445,01452-000,-21.5539712
446,01452-000,-21.6687477
447,01452-000,-21.8898802
448,01452-000,-22.0693941
449,01452-000,-21.97873
450,01452-000,-21.874017
451,01452-000,-21.7319007
452,01452-000,-22.0974282
453,01452-000,-21.9175709
454,01452-000,-22.0708122
455,01452-000,-22.1979404
456,01452-000,-22.5580993
457,01452-000,-22.1093305
458,01452-000,-22.1416954
459,01452-000,-22.0938182
460,01452-000,-21.9612981
461,01452-000,-22.7373942
462,01452-000,-22.55773
463,01452-000,-22.5049736
464,01452-000,-22.5620382
465,01452-000,-22.5370618
466,01452-000,-22.8548649
467,01452-000,-22.9171888
468,01452-000,-22.7883436
469,01452-001,-22.7812374
470,01452-001,-22.8464357
471,01452-001,-22.8339976
472,01452-001,-22.8912856
473,01452-002,-20.4045005
474,01452-002,-19.9685254
475,01452-904,-20.6855411
476,01452-919,-20.5613639
477,01452-919,-20.4419793
478,01452-919,-20.3273264
479,01452-919,-20.7702311
480,01452-922,-20.8451736
481,01452-924,-20.8250212
482,01452-924,-20.6458812
483,01453-000,-20.9829904
484,01453-000,-21.1099128
485,01453-000,-21.1153921
486,01453-000,-20.5470065
487,01453-000,-20.3821834
488,01454-000,-20.3778126
489,01454-901,-20.4000431
490,01455-000,-20.3597726
491,01455-000,-20.2628866
492,01455-000,-20.317192
493,01472-900,-21.0985212
494,01501-001,-21.0980507
495,01501-050,-21.001985
496,01501-050,-20.9414569
