,0
15950-970,-21.24073
07802-240,-23.32466
09371-520,-23.66345
33035-170,-19.85522
68555-201,-7.10447
58306-000,-7.12208
03103-003,-23.55367
83323-000,-25.44026
61801-240,-3.98459
06053-000,-23.55063
06194-060,-23.52635
51021-020,-8.1266
90130-100,-30.05223
09110-001,-23.67715
09015-020,-23.6567
11060-002,-23.96435
07180-270,-23.46317
09890-001,-23.69964
03806-010,-23.49913
42702-400,-12.89791
18080-000,-23.48843
03089-000,-23.55255
35160-294,-19.50602
65631-240,-5.09093
73750-040,-16.677
59600-195,-5.19313
29176-090,-20.12638
13403-000,-22.74016
89053-200,-26.88999
13025-355,-22.902
91310-000,-30.04372
16025-010,-21.211
16074-185,-21.19733
14025-700,-21.20701
54759-000,-8.02
13565-905,-21.98918
14401-234,-20.52646
15025-600,-20.80274
72318-595,-15.86325
04617-000,-23.61708
74620-010,-16.67337
65010-450,-2.52761
49030-640,-10.95418
64208-120,-2.91791
64049-240,-5.07578
64000-240,-5.08579
74070-070,-16.79976
64607-165,-7.08098
49015-160,-10.92074
49010-520,-10.90894
47800-191,-12.14723
47850-043,-12.08326
44075-155,-12.25583
90040-060,-30.03351
40290-000,-12.99009
40010-904,-12.96896
41635-150,-12.93594
41825-000,-12.99577
40140-902,-13.00678
14015-170,-21.18448
07012-020,-23.47134
71615-560,-15.84955
69073-175,-3.13063
71953-000,-15.77829
70715-000,-15.78665
70670-431,-15.81176
75901-040,-17.7937
96065-000,-31.72377
90570-060,-30.02381
91140-000,-29.97758
75040-040,-16.31192
93125-140,-29.72507
81650-020,-25.49342
74160-010,-16.70045
35930-003,-19.81069
52070-230,-8.02798
60170-001,-3.73936
75110-770,-16.33222
35044-190,-18.88541
90650-003,-30.06458
22790-702,-23.01943
02937-040,-23.48602
15920-970,-21.26398
13076-061,-22.8849
60420-432,-3.76521
89204-005,-26.29132
51020-280,-8.11812
41830-070,-13.00659
40025-000,-12.97076
20080-002,-22.90307
86070-680,-23.29774
12230-000,-23.22337
74075-010,-16.67645
64014-130,-5.09239
90410-002,-30.04372
92330-000,-29.90094
02071-011,-23.50629
29055-131,-20.30344
78070-000,-15.61472
88117-001,-27.57192
69932-970,-11.01371
59296-802,-5.77413
38400-448,-18.91327
58410-298,-7.24688
32145-900,-19.87516
20020-010,-22.90766
30640-000,-19.97688
32315-140,-19.94548
80420-000,-25.43575
30830-373,-19.89912
05503-001,-23.57069
58030-000,-7.11965
31610-070,-19.81227
04534-002,-23.58393
30110-008,-19.91337
54325-440,-8.1638
22240-005,-22.93432
59082-270,-5.86513
30180-160,-19.93487
09657-000,-23.65322
03949-100,-23.60303
41820-000,-12.97625
79004-680,-20.47445
58085-000,-7.15814
80010-010,-25.43105
08115-000,-23.48758
91910-971,-30.10293
95034-160,-29.16842
14055-620,-21.15404
90110-230,-30.04638
41830-000,-13.00652
65076-730,-2.51325
14090-260,-21.17887
38400-702,-18.90419
39401-851,-16.72494
70170-900,-15.78793
50711-000,-8.04928
18047-900,-23.53307
60035-110,-3.73101
50770-720,-8.0809
74275-120,-16.71455
70150-900,-15.80097
66055-005,-1.44371
66035-220,-1.45368
66645-000,-1.40859
66113-000,-1.4299
88010-001,-27.59395
60310-001,-3.7215
22755-001,-22.936
61645-100,-3.73874
76820-163,-8.76324
76804-186,-8.76582
19050-230,-22.14165
29175-344,-20.14235
99025-503,-28.26855
29123-001,-20.3354
29164-037,-20.21253
41340-050,-12.90088
20540-003,-22.92382
24020-110,-22.89536
22050-032,-22.97471
20040-002,-22.91195
69043-000,-3.07259
20210-030,-22.90924
22031-071,-22.96705
21350-031,-22.8821
28035-053,-21.75718
20260-130,-22.91575
21941-353,-22.82056
60115-080,-3.72554
27260-010,-22.51821
22410-003,-22.98397
28893-076,-22.42801
25250-000,-22.5989
89809-450,-27.09145
86010-020,-23.32538
74210-260,-16.6969
25730-745,-22.40002
96030-002,-31.75909
96015-140,-31.76091
96503-490,-30.02004
03712-008,-23.50737
95700-200,-29.16749
52060-590,-8.03513
93336-025,-29.70054
97015-123,-29.68791
93040-193,-29.76839
95034-000,-29.15917
29145-906,-20.33479
90010-190,-30.03014
81720-000,-25.51389
40060-001,-12.97773
41820-021,-12.97978
04777-000,-23.70386
30380-252,-19.94458
04571-000,-23.6055
50670-420,-8.03941
88062-025,-27.60414
89202-295,-26.31841
89260-000,-26.51272
88080-160,-27.60513
88090-000,-27.59919
88523-000,-27.81006
89022-000,-26.92816
89805-203,-27.07465
89285-580,-26.21917
80620-200,-25.46338
80045-270,-25.42767
81730-000,-25.52308
80060-120,-25.43094
80230-010,-25.43864
82400-000,-25.40399
80730-000,-25.43295
90030-131,-30.02576
90010-140,-30.02786
83301-010,-25.43144
80030-001,-25.41297
84010-000,-25.09489
84070-000,-25.08386
80240-000,-25.44514
85801-002,-24.95517
73310-200,-15.79084
72705-050,-15.8275
66025-160,-1.45917
05805-000,-23.65136
40010-020,-12.97099
13033-000,-22.91049
74513-101,-16.67745
36016-321,-21.77669
36010-110,-21.76126
36045-120,-21.74095
77001-004,-10.22688
41740-170,-12.97127
21350-180,-22.87696
64002-475,-5.06976
58055-000,-7.17011
29051-042,-20.31119
74230-100,-16.69767
90110-000,-30.04957
08780-120,-23.52157
87030-000,-23.38932
20520-052,-22.93224
30421-198,-19.93194
88704-410,-28.47321
40070-190,-12.98571
01413-100,-23.56044
60192-018,-3.74314
60721-340,-3.77017
02265-002,-23.48092
80020-040,-25.43049
13208-051,-23.19033
09961-350,-23.69342
04045-902,-23.62855
41233-005,-12.90871
70873-500,-15.74499
74115-060,-16.73833
60165-080,-3.72682
04538-905,-23.58891
74083-195,-16.68281
78050-000,-15.58786
03011-000,-23.53879
04035-000,-23.5912
04023-062,-23.59776
74675-830,-16.62223
64045-970,-5.08115
60822-131,-3.79597
70381-525,-15.82892
89256-501,-26.47897
70630-901,-15.77217
49020-570,-10.93237
58040-300,-7.12714
40230-731,-12.99289
13201-760,-23.1968
70910-900,-15.76224
74605-220,-16.67653
74830-130,-16.71929
05116-000,-23.51356
20771-001,-22.88667
41720-010,-12.96958
89227-015,-26.27635
30130-188,-19.92989
65051-210,-2.53873
90480-000,-30.02548
51111-020,-8.12629
01139-001,-23.52207
38400-100,-18.9208
35162-036,-19.47256
36090-280,-21.68925
66075-110,-1.46418
59063-400,-5.82966
59066-180,-5.8551
41150-000,-12.95711
40170-110,-13.00448
72876-333,-16.07167
78050-970,-15.57171
78055-428,-15.56028
78045-490,-15.59165
78110-400,-15.64721
78005-907,-15.61334
69900-640,-9.96132
69057-000,-3.10609
74911-700,-16.81136
94930-230,-27.34439
13472-419,-22.72825
81130-000,-25.50485
01227-000,-23.53763
14810-270,-21.77953
29055-642,-20.29705
21210-623,-22.84868
21321-010,-22.89803
45600-171,-14.79128
05302-001,-23.53069
05406-050,-23.55849
45651-620,-14.78352
06600-010,-23.53004
22790-701,-23.01943
70040-020,-15.78913
70073-900,-15.80146
70712-900,-15.78701
60160-230,-3.73406
17017-339,-22.34481
58051-900,-7.13611
58013-010,-7.10484
58041-000,-7.12114
25569-900,-22.79661
97105-900,-29.71106
52051-020,-8.03137
57051-000,-9.6546
57020-913,-9.66462
65076-820,-2.51404
30150-281,-19.92439
76930-970,-11.34882
76801-222,-8.75835
76932-970,-11.69924
30160-012,-19.92904
58429-140,-7.21717
20031-080,-22.90948
22470-050,-22.96658
27281-422,-22.49505
20031-923,-22.90958
02350-011,-23.45777
03636-100,-23.52233
03988-010,-23.61486
04733-400,-23.63825
09041-320,-23.6576
09810-260,-23.72101
59078-900,-5.81671
82940-010,-25.4504
81020-010,-25.49458
82210-000,-25.3885
71571-710,-15.77283
71503-502,-15.85749
72010-120,-15.83226
76807-610,-8.78814
59064-901,-5.83692
79002-205,-20.45978
35164-213,-19.45139
86025-720,-23.29906
22740-360,-22.92839
20540-004,-22.92356
03512-970,-23.54047
09521-300,-23.61535
85803-000,-24.97644
06501-970,-23.44453
21235-110,-22.85095
22270-000,-22.95121
05013-000,-23.53566
87111-140,-23.44282
63041-140,-7.22603
70070-600,-15.77829
50110-000,-8.04327
50720-001,-8.05818
26383-060,-22.71268
23087-284,-22.88317
69010-080,-3.13064
69050-970,-3.101
70040-912,-15.79062
02464-200,-23.48504
07050-000,-23.46918
04378-100,-23.64465
01008-000,-23.54644
20031-170,-22.90945
20920-310,-22.8931
03527-000,-23.53983
03658-011,-23.52444
77006-014,-10.18446
49026-010,-10.94718
24340-000,-22.96124
26210-060,-22.75796
30130-005,-19.92249
22260-001,-22.95001
78020-400,-15.60068
78025-300,-15.61347
91350-200,-30.01444
13015-082,-22.90093
96810-166,-29.72001
69900-082,-9.97363
69900-333,-9.97015
18047-620,-23.52404
14096-350,-21.20793
11060-303,-23.96707
13400-765,-22.71951
13083-865,-22.81727
13209-080,-23.18551
21710-232,-22.87808
96200-090,-32.03527
92120-124,-29.94002
14050-220,-21.17487
68900-101,0.03864
38408-404,-18.93193
24350-310,-22.94167
76801-429,-8.75142
70775-530,-15.73784
77064-580,-10.33869
79031-330,-20.44993
79020-300,-20.46206
05170-000,-23.48212
05640-002,-23.60653
02135-002,-23.49858
14409-003,-20.51533
15055-298,-20.7887
65030-015,-2.54291
19015-150,-22.12057
02611-003,-23.47028
51180-001,-8.13271
51010-000,-8.08723
22640-100,-23.00763
05019-011,-23.53712
08410-000,-23.54259
60015-051,-3.72717
60130-241,-3.75239
74810-100,-16.70654
38045-000,-19.77054
72225-017,-15.81979
72465-360,-16.0306
29090-820,-20.25175
30310-530,-19.94827
30320-660,-19.97363
75903-290,-17.78813
60431-086,-3.75074
57035-180,-9.6603
29313-656,-20.75775
03620-001,-23.51837
06180-180,-23.54138
20260-142,-22.92028
30720-100,-19.91228
35700-293,-19.46688
20010-010,-22.86314
89068-000,-26.82248
59110-200,-5.75684
80410-201,-25.43289
82820-110,-25.41826
60720-000,-3.77708
60822-164,-3.79604
71680-122,-15.8528
57052-400,-9.62606
57020-070,-9.66471
58035-030,-7.06609
78740-046,-16.47838
87013-050,-23.42744
85812-003,-24.95517
86070-545,-23.30077
04538-133,-23.58415
01310-100,-23.56479
03319-000,-23.54613
13091-908,-22.86675
17012-202,-22.33099
66063-060,-1.45646
41820-901,-12.97886
88032-005,-27.54083
50030-900,-8.06241
29050-335,-20.3161
12242-840,-23.2017
14020-750,-21.21065
09080-000,-23.6505
09750-420,-23.6915
05001-903,-23.52598
15090-305,-20.84659
70610-410,-15.79601
31310-240,-19.87198
20011-902,-22.90525
69079-210,-3.10855
77001-022,-10.19222
76803-745,-8.75144
68900-073,0.04088
60416-392,-3.75954
69036-110,-3.0996
95020-001,-29.16878
69301-110,2.82879
93510-130,-29.68163
59020-120,-5.78971
13010-911,-22.90178
42800-400,-12.70207
44052-064,-12.24455
30190-050,-19.92183
37006-510,-21.56712
14015-040,-21.1777
13041-670,-22.91978
14096-560,-21.19977
32670-248,-19.96479
15080-000,-20.84451
13454-179,-22.74421
83065-260,-25.50341
60150-161,-3.73496
92410-350,-29.90562
91010-000,-30.00855
77021-622,-10.25507
78118-071,-15.648
74645-020,-16.66278
69055-010,-3.08536
60533-690,-3.76865
68904-740,0.02568
29101-280,-20.34105
22793-082,-23.00158
04046-200,-23.60799
04544-051,-23.59186
04905-021,-23.69053
04278-000,-23.6024
01013-905,-23.5471
29168-060,-20.19468
54250-538,-8.09094
68500-450,-5.34436
88370-438,-26.90122
21211-007,-22.84533
01501-001,-23.18416
03401-001,-23.53885
78550-202,-11.85459
78065-300,-15.62084
13092-108,-22.89435
71805-543,-15.88391
68040-400,-2.41944
88303-101,-26.90766
67110-000,-1.38746
13420-585,-22.74125
13060-222,-22.91947
04255-080,-23.62346
12942-540,-23.12358
05016-110,-23.53979
08371-440,-23.59489
08010-090,-23.49351
05419-001,-23.56005
01031-000,-23.53969
08070-001,-23.50651
08220-830,-23.53607
04846-000,-23.73686
05787-000,-23.63359
31720-300,-19.83063
22640-010,-23.00854
57046-000,-9.60071
30580-000,-19.96232
07776-450,-23.3348
29102-041,-20.36692
29140-261,-20.33418
77803-130,-7.1913
21331-720,-22.88088
65071-380,-2.49199
83820-001,-25.64966
65907-000,-5.51939
22430-060,-22.9827
47810-710,-12.14046
31570-000,-19.81224
79800-023,-22.22597
48608-080,-9.39708
79010-600,-20.42981
41940-000,-13.01247
42701-260,-12.86905
01002-010,-23.54744
79611-080,-20.80136
64000-150,-5.08991
62010-150,-3.68665
94050-000,-29.93145
08341-420,-23.59624
16010-370,-21.20921
35010-150,-18.85459
76908-408,-10.88742
69093-770,-3.04237
69077-000,-3.13582
57300-005,-9.75078
69309-000,2.81943
38022-200,-19.76404
28909-490,-22.89008
13230-005,-23.20585
30480-000,-19.92944
37701-002,-21.78653
38400-042,-18.91648
83408-485,-25.36831
17516-000,-22.22696
25963-080,-22.41775
88065-005,-27.70133
04036-100,-23.5912
31030-105,-19.90845
71691-153,-15.89681
84035-300,-25.1049
80440-080,-25.44493
78043-172,-15.59508
59064-390,-5.83076
68900-012,0.08406
66093-020,-1.44544
68501-690,-5.37161
72915-006,-15.7301
68909-094,0.08797
64020-720,-5.12994
89802-140,-27.10098
89206-001,-26.29761
75804-066,-17.87718
78048-250,-15.56412
29111-165,-20.35086
22410-050,-22.98337
88058-001,-27.44828
13830-080,-22.60481
15045-000,-20.78283
65080-040,-2.55912
90430-000,-30.0285
30110-044,-19.93641
01452-000,-23.57312
44053-268,-12.22134
13505-130,-23.30159
90035-007,-30.04067
60170-250,-3.7319
60440-554,-3.73869
58031-003,-7.11965
27920-230,-22.4042
26553-160,-22.79683
24220-030,-22.90248
27440-010,-22.2958
29136-010,-20.35319
29215-450,-20.65332
64046-010,-5.08668
09981-420,-23.69993
07244-000,-23.44509
06268-000,-23.50356
38702-054,-18.56818
78043-300,-15.58833
58040-040,-7.12114
29055-721,-20.30821
01310-300,-23.56479
71936-250,-15.84166
01036-900,-23.54518
05777-001,-23.64873
24020-086,-22.89435
88015-530,-27.58656
79021-300,-20.45373
69050-010,-3.09336
22440-035,-22.98532
04734-002,-23.63825
02022-000,-23.50441
05428-000,-23.56121
01234-010,-23.5453
03337-000,-23.55589
74115-924,-16.68224
30130-145,-19.93848
80420-210,-25.43429
41820-710,-12.98581
12242-800,-23.19856
11060-450,-23.96201
57035-170,-9.66155
59020-300,-5.79105
58030-002,-7.11965
90570-080,-30.02503
65075-650,-2.49316
09710-215,-23.71074
40150-055,-12.99732
70610-420,-16.00346
70070-010,-15.80172
71625-205,-15.84759
38405-142,-18.90065
30170-081,-19.92978
07111-000,-23.46677
13025-001,-22.89545
15085-020,-20.83121
20030-001,-22.90763
90480-002,-30.03445
88801-000,-28.67981
18618-970,-22.89656
88352-001,-27.08708
88501-000,-27.81623
04029-000,-23.60815
88330-112,-26.99815
88130-100,-27.64522
88111-150,-27.56587
89237-448,-26.29019
20011-970,-22.90427
22631-003,-23.00763
65065-470,-2.5034
09015-190,-23.65477
66093-048,-1.43918
30170-122,-19.93384
64077-175,-5.10532
11320-000,-23.96523
06380-021,-23.53689
11705-000,-24.00703
79094-000,-20.53269
36015-000,-21.75881
87013-300,-23.42635
55012-290,-8.27074
13561-206,-22.01239
17016-230,-22.3391
65058-010,-2.5645
13840-017,-22.37205
13320-240,-23.20482
13330-260,-23.08886
89010-300,-26.92809
14780-100,-20.55386
13466-550,-22.75768
18270-320,-23.35231
13500-410,-22.28165
13600-040,-22.35779
12515-010,-22.80524
12010-030,-23.02668
18200-013,-23.59112
13300-005,-23.26536
12900-140,-22.95613
18010-080,-23.50103
17010-200,-22.32177
08710-170,-23.52119
11510-002,-23.86788
07851-120,-23.32686
07010-050,-23.4687
12120-970,-22.9645
11660-060,-23.6217
11410-150,-23.99325
08674-003,-23.53821
16200-003,-21.28961
15800-020,-21.13683
16400-080,-21.6782
17500-021,-22.2244
15025-000,-20.80938
06717-100,-23.607
08500-110,-23.54299
12220-000,-23.1819
